"","DREAD","UNKNO","TRUST","KNsub","KNobj","PROGR","PRISK","PBENE","POLICY"
"ti6nhu",0.0295975357223228,-0.0225778188067311,0.368678955425506,0.448842796782052,-0.0220654610654368,1.18032927841177,-0.582898814314969,1.73104231674881,0.814668457089128
"5k42ae",1.11196549054721,-0.192099095135927,-0.741601338232348,1.11468639430799,-0.186481277484081,-0.295132844306946,0.789602003616739,0.20179812066066,-1.54355132953062
"dek0b1",0.42317084757349,0.452263692440138,0.229893918718274,0.115920998019085,0.0119312604620142,-0.549474693257837,-1.04039908695887,-0.0426950194744188,0.437082441393509
"429hap",0.908245067140458,0.849802532246442,-0.151764932226613,-0.341846475279993,-0.205908283442861,-0.400596871127168,0.560851867294788,-0.605279686458383,-0.127431756634538
"aiv701",0.149637518384034,-1.11893544875782,1.2013891756689,-0.924459623115185,-0.408826931989723,-1.16631726013012,0.255851685532186,-0.724278052044367,-0.261473260694569
"i4qp78",0.0192508845223284,1.14419227391992,0.472767732955929,-0.00892467651702631,-0.222563315977389,0.0163908266125354,-1.6885244732044,0.941075087223505,0.931562712055071
"jul8lq",0.17997340708487,0.787704899385566,-0.117068673049805,-0.0921551262077698,0.49084253306151,-1.68895623233901,-1.45977433688245,0.550764697327754,0.109837235941853
"1bp0b1",-0.872144526996624,0.263382560116633,0.611552769663161,-0.425076924970735,-0.511558788968212,1.05715726467481,0.14147661737121,0.582444646363671,0.881357969799405
"e7pddj",1.50884257080447,1.31962065512364,-1.53961529929893,-0.757998723733701,-1.37024759035112,0.63834458281922,1.01835213993869,-1.70614824464419,-1.25963754789856
"bt7co5",-1.47531915645203,-1.84387188283647,1.89531435920505,2.77929538812282,2.16758353055142,1.32450155617928,-2.1460247458483,1.79344928470999,2.00726773374785
"r5kghu",0.370685685319878,0.205297541390249,0.576856510486353,-1.38222709641426,-0.0363880096856377,-0.229359566621487,0.179601640091536,-0.516200992672487,-0.42912176695584
"venpp6",0.56840524870673,0.269571744255617,1.44426298990655,-0.175385575898511,0.855405220077134,-0.35217618356845,0.255851685532186,-0.472877130130589,0.979125910715268
"ki5urr",1.36142798861749,0.483782499338641,-1.4008302625917,1.90537566637003,-1.79620795829046,1.00253254376909,-2.1460247458483,0.683247744401288,1.62758009167327
"daheaf",0.183473800874597,-0.252865938931227,0.160501400364658,-0.966074847960556,-0.0681384391808528,-0.0159535617573724,-0.392273700713343,0.430989603863293,0.241153635221238
"idqijg",0.894151292290602,1.24140162302089,-1.50491904012212,-1.38222709641426,-0.649973793442049,0.297309871543499,0.332101730972836,0.214586565015473,-0.512301109726685
"bv4ec2",-1.66311603918844,-0.92727417688931,1.89531435920505,1.40599296822558,1.38395787637918,0.788261964833587,-1.80289954136538,1.76305069994711,2.13453920415021
