"","DREAD","UNKNO","TRUST","KNsub","KNobj","PROGR","PRISK","PBENE","POLICY"
"j005g3",1.10959115762928,-1.53026439334157,-1.50955699007538,-0.99788096541867,-0.103598255680446,-0.0460517877920669,0.951692975250773,-1.49487046472637,-1.16952408393448
"28qtne",-0.396459992619914,0.875545921624435,0.537209017237497,0.839046507889505,0.817022081509573,-0.152372470809466,-0.204214043568259,0.220092647472155,0.603121349938362
"j315c6",-1.44726485282712,-1.48847509295402,1.94877178090155,2.88957019902421,1.71037289249401,1.27689086270334,-1.66836293407236,1.4348461287375,2.3117188110542
"r74nu5",-1.86455191569341,-1.7795503669625,1.84290457362675,-0.143496094112542,0.540084833725176,0.0420843237618428,-2.20778620952125,1.12524708765463,2.3117188110542
"8v4cjc",1.10412726035907,-0.122306408852376,-0.94493188460976,-0.143496094112543,-1.00508419331139,-0.691425207687633,1.25993484693585,-0.778793625378851,-1.20940913375368
"bhelvo",1.2840214561914,1.38248057819666,-1.58013512825859,-0.399811555504381,0.822013416552873,0.121799150312004,0.759041805447601,-1.27759330923403,-1.01959957509039
"ie2v7c",0.341336976038651,0.940110892730027,-0.486173986418943,0.753608020758891,-0.00781626217041964,0.401943868429552,-1.51424199822983,0.432942412339949,1.23150520795187
"6om7ir",0.902325322425711,1.24981053986738,-1.58013512825859,-1.38235415750643,-0.751709280852562,-1.19957409851555,1.56817671862092,0.496903057860623,-1.53937371617142
"gae23l",-0.119117824237119,-0.150190453812911,1.24299039906952,0.155538610844602,0.0730049334865116,0.680556495158418,-2.20778620952125,0.520494417646545,0.77847847835149
"88ua9c",1.42165512052905,0.15936364426551,-0.0274160882281247,-1.08331945254928,0.634521032388112,0.634208048804894,0.181088296038085,-0.835552741106109,-1.08870926062877
"uq06fa",-0.78211027431365,0.443211726216129,0.00787298086347671,0.41185407223644,-0.178662989248333,-0.580451712271734,0.527860401683795,0.384602219030766,0.245341135768211
"s6662p",-0.204877039151511,-0.572697774602766,0.113740188138281,0.710888777193585,-0.302947589560562,-0.210537769630609,-0.358334979410796,1.70399323639493,0.814956922592447
"tk6tl0",0.211397616149383,-0.853335106787264,-0.839064677334956,1.56527364849971,-0.443752058083838,-1.41729772032268,0.104027828116816,-1.73695900343613,-0.733407090795809
"ht3m6j",1.23847504402402,0.343630949887126,-1.58013512825859,-0.314373068373768,1.03213928482046,-2.13696027142565,0.874632507329504,-1.12391148167281,-1.34995382419157
"00ab9a",0.21521831425224,-0.928900308562372,1.13712319179472,-0.869723234722751,0.225191151442693,0.625406013951541,0.643451103565698,0.872256554610298,0.4079393844155
"932amu",0.627315502701044,-0.522773117670974,-0.768486539151754,0.112819367279295,0.383257784196688,-1.58965290134744,0.065497594156182,0.0238474224977,-0.407756260619907
"l6oa2p",-0.770215537069449,-0.458951867721978,1.41943574452753,-0.912442478288057,0.0800958665747884,0.776423948026909,0.104027828116816,1.0341452254956,0.685873210226364
"qkjmb6",-1.27762138832727,-0.264674573301466,1.17241226088632,1.4798351613691,1.52164787858799,1.63089459701558,-0.589516383174602,0.896643779639721,0.720676616239047
"bsdeb9",1.14505701160751,-1.86477045833184,-0.16857236459453,-1.38235415750643,-0.0517097861597689,0.52738263021645,1.64523718654219,-0.208982324334903,-0.889656039820133
"e8pivf",-1.34138881065364,-0.53370742911549,-0.839064677334956,0.155538610844602,-0.376452538214691,-0.161796527874473,0.258148763959354,1.27916856006121,-0.104394695564241
"vkp93b",0.0208084985031917,-0.299286058147251,-0.768486539151754,-0.228934581243156,-0.713433919571184,0.0511931595453246,0.951692975250773,-0.826758402536813,-0.48558394849875
"je56qa",0.50644045475448,1.182308838519,-1.58013512825859,-1.12603869611459,-1.15939658260125,-0.656489425823142,0.104027828116816,-1.91984199008969,-0.980633822483783
"0atrkh",-1.51809315437244,0.667692709437094,0.678365293603903,0.625450290062972,0.399182360232816,1.12781705270347,-0.936288488820312,0.70909004842054,0.838739968731763
"9q4hqq",0.0100882767106659,-0.198546977601011,0.290185533596288,0.240977097975215,0.155011209833028,-0.829236739942556,0.83610227336887,-0.812258838038511,-0.146738913662749
"4e7101",1.27434352144729,0.724309462767785,1.03125598451992,-1.33963491394112,-0.0797572076866334,0.656255613024127,-0.12715357564699,-1.01244680320632,0.16610991597131
"rv8oid",0.578315547796233,0.0683417085680282,0.149029257229882,-1.38235415750643,-0.286014051270323,-0.284209088802048,-0.74363731901714,-0.162612986759657,-0.0167716239841261
"tbpi2n",1.08519514832726,0.419849704603328,-0.627330262785348,0.283696341540521,0.00667825794103382,0.769017963956873,0.412269699801891,0.146244341420361,0.444638074055961
"ddlq4k",1.38861683030526,1.00777242005121,-1.50955699007538,-0.271653824808462,-1.22668245814618,-1.06994813235576,1.64523718654219,0.651740757077826,-1.21635442794727
"hk1a2a",1.57904127271707,0.982586455700081,-1.05079909188456,1.26623894354257,-0.766335569004258,0.817551135109073,0.951692975250773,-1.86861471423595,-1.21938041657675
"s2bn80",-0.294797482219226,-0.44611568465489,-1.22724443734257,-1.38235415750643,-0.0276257875047277,0.692000442484659,-0.204214043568259,-1.03365319806857,0.754649950578881
"o0lllg",-0.407625520613554,-0.341035827319922,0.00787298086347671,-0.698846260461525,-0.191184811301428,-0.417260759635522,0.21961852999872,-1.01653644199267,-0.183904957535004
"d2mdk6",0.699796875431737,0.124514179989123,-0.203861433686132,0.454573315801746,0.307683279205699,-0.545627861244757,0.527860401683795,0.218572486952098,0.0922455620587875
"cncp18",0.87146778780573,0.609831897488044,-0.662619331876949,0.283696341540522,0.163841584157581,0.948709864296413,0.258148763959354,-1.34062870767129,-1.44191606471872
"emcnrv",-0.258875528352971,-0.451137607026112,0.00787298086347671,0.240977097975214,-0.0794371573050872,0.240398083646933,0.720511571486966,0.222231578084508,0.172270059804352
"1d8g54",0.321621641246713,0.275145829953426,0.748943431787106,0.326415585105827,0.137837225281135,0.8238442335466,-0.319804745450162,1.5304608087088,0.610135696201056
"q2rcpn",-0.314980560224979,-0.121013965180286,0.819521569970308,-1.2114771832452,-0.19973178151818,-0.358572168928919,0.142558062077451,0.341082299687047,0.692199414118157
"gisrf6",-0.785760528722859,-1.33147589160596,1.13712319179472,-0.997880965418669,-0.318279048536922,0.689489688802569,-0.589516383174602,0.470332898003266,0.446525410816433
"70lehq",-1.00905937667676,1.66307117131564,1.52530295180234,-1.38235415750643,0.257613231258587,0.647639457927765,-1.32159082842666,1.18146271235225,1.27821134667514
"d2ovp9",0.188987084641516,-0.23073979212348,0.784232500878707,-1.29691567037581,-0.405806844585093,1.29147475899269,-1.09040942466285,0.411835153196001,0.638436171073269
"o1rmc2",0.647546307653052,0.821009942289082,-1.40368978280058,-1.38235415750643,0.195550673941161,-1.94661606066889,-0.936288488820312,-1.15745836286108,0.38571854498216
"2tvcbt",-1.32972028972914,-1.05391351314053,-0.239150502777733,1.18080045641195,-0.435251550475359,0.13344820534852,-0.820697786938409,0.479284184163832,1.40394321472985
"tjsbov",0.374896904593583,-0.678113405557578,-0.0274160882281247,0.967204238585422,-0.530088808990502,-0.716618076673064,0.258148763959354,1.68988284614183,-0.592478486967187
