"","DREAD","UNKNO","TRUST","KNsub","KNobj","PROGR","PRISK","PBENE","POLICY"
"ti7a9o",0.295727317625323,0.102110228410091,0.398743758493796,-1.22427404112495,-0.111454781670643,-0.298350524388812,0.217998653767031,-1.24314334397258,0.276278268413152
"srjha7",0.469397417709348,0.876693052870651,-0.25212397181028,-0.261036664412409,-0.849399019783386,-1.0319955852363,-0.209589588221371,-0.583373500604362,-0.109907874107002
"elj09t",-0.342958247215803,0.27488304931504,-0.531067284797741,1.31056116075017,-0.167418978597527,0.108300499787082,-0.156141057972821,0.446222975681003,0.00631582981029568
"53lq9j",-0.298357118253355,0.111776758698642,1.04961148879787,0.144536967887611,-0.557578100061827,-0.331340225834306,0.0576530630213802,0.0259669248078315,0.296687272348199
"831n09",0.58164563146173,0.128685285652187,-0.0661617631519723,0.803594120375143,0.115227330840877,-0.36092866774723,0.699035426003983,-1.58751259055591,-0.460964972417919
"lto376",0.158704389931707,0.691101985311059,-0.438086180468587,-0.71730700074993,-0.773967639648134,0.0856883526139091,0.00420453277282993,-1.82144202576544,0.115894705375414
"uts623",-0.353822519461692,0.249571966121587,-0.763520045620625,-0.210339960374906,0.180697513015746,-0.869195630830975,0.324895714264131,-0.254476415702896,-0.113968829524822
"uk59nd",-0.29982711063681,-0.703417625365394,-0.0196712109873954,0.499413896150129,0.501874666359117,-0.253534818624333,0.805932486501083,0.119593779618145,0.593083143777999
"6gb1gf",0.149310976827015,0.0957776692759294,-1.60034998458301,-1.02148722497495,-0.378846710408946,-0.290543559615446,0.00420453277282993,0.445584770673991,-0.0274148772828632
"10je9v",-0.268410349755773,-1.23800283975141,-0.624048389126895,0.0431435598126067,-0.172771482911461,-0.0568925698532063,3.58525605942569,0.272994257777197,-2.31848305406699
"vjlm60",0.441663256421607,-1.04407860812478,-0.949482254278933,-0.768003704787433,-0.215861814944767,-0.128010135284565,0.645586895755433,-0.199954614894451,-0.831988050522042
"ac9tcg",-0.441951457321814,-0.0447948392132858,-0.856501149949779,-0.413126776524915,0.974205907073638,0.361536276921999,-0.744074890706873,-1.16835157933851,-1.20721526504505
"fm2que",-1.18657553852736,0.0450412566737253,-0.0661617631519723,1.56404468093768,-2.11576833388655,-0.178840368691103,0.11110159326993,-0.511993938764381,-0.715853706749432
"rprufq",-1.74545712530835,-0.790468722391152,-0.624048389126895,-1.07218392901245,-1.03876993668134,-0.764920046613717,2.03524868221774,-1.15837082451821,-0.68066418763877
"gf52lo",-0.521879443329732,-1.03986755893572,2.02591308425399,0.347323784037621,-0.340537081566059,0.171592831372832,0.271447184015581,-0.0529278634148956,0.509009739096085
"n3n2g7",1.08886871883929,0.784949505301621,0.0268193411771814,1.41195456882517,-0.0940049014654795,0.727466242594539,0.0576530630213802,-0.379178049520555,-0.481504965994386
"4o95jq",0.824283447039001,-0.382049316377342,-0.345105076139434,-0.00755314422489624,-0.689288259705653,-0.865735228135385,0.645586895755433,0.073786934023213,0.034083691597626
"5h1c52",0.369651621341471,0.560467818947804,-1.46087832808928,1.36125786478767,-0.508250000385665,0.320917084967133,-0.423383709215572,0.632826726379079,-0.0751847381689556
"bagdgf",0.433917486074768,-0.218799729542003,0.166290997670912,-0.0582498482623982,-0.164746563749942,-1.48954148909089,1.87490309147209,-1.26113811971121,-1.38461194744763
"sj44ut",0.00243779948728706,-0.886814410159153,-0.345105076139434,-0.00755314422489589,-0.0798434344131888,0.169793086612628,-1.97339108642353,1.27844559221851,0.204355718872145
"ujsv60",-0.600541627236395,0.136398449013995,3.18817688836841,1.71613479305019,2.50217575045453,-0.391098396303655,0.11110159326993,0.490380557044793,2.45578354680536
"l9lprl",-0.675464584415613,0.849085659194558,-0.345105076139434,-0.210339960374906,-1.62910937327311,-0.0700224790598338,-0.744074890706873,0.00183073779158721,-1.85914551815862
"hdbt88",-1.3771830278636,-1.34992486744568,-0.949482254278933,-1.32566744919996,0.695319067471695,0.254228996957953,-1.65269990493223,1.93086815490276,1.01262760213261
"2jkbfk",-1.09747620854786,0.314770005803997,-0.438086180468587,1.31056116075017,0.620888563848507,-0.376174200671027,-0.209589588221371,-0.895612119652664,0.759079404180626
"7g80om",0.402679558816898,0.345875002084669,-0.0661617631519723,-0.666610296712428,-1.80766777823789,0.937761666440686,-0.102692527724271,0.0640698744133806,-1.54295872802608
"nuqrp0",-0.0155180271948634,-0.482548476710464,-0.112652315316549,0.398020488075124,-0.358809519039637,-0.0457270689327394,0.164550123518481,-0.104627535644862,-0.470604089333812
"jb5j1k",0.930145458496884,0.0165445406884558,0.863649280139565,0.195233671925114,0.00311120758365459,0.357528198819725,-1.65269990493223,-0.172663764554507,0.891494205477924
"vvdtmj",-0.344121640967537,-0.471766285147911,-0.531067284797741,-1.98472460168749,-0.310829064046326,1.02440225631363,0.00420453277282993,-0.103902551118477,-1.02767283630486
"dvq5b4",-0.976321462394503,-0.385084269016724,0.0268193411771814,-0.413126776524916,0.17904078785986,0.0601262578755018,-0.316486648718471,1.31713581695194,1.18792250845722
"sn17ij",0.558406852248835,0.155353126716317,0.166290997670912,0.347323784037621,-0.369491764205909,0.172893082446026,1.18007219824093,-0.348524270686229,0.0653519739639822
"30n8hl",-0.713485823612499,0.647236851317413,-0.949482254278933,-0.108946552299901,0.600261114162422,-0.645234265946706,0.431792774761232,-0.233231227128882,0.0460160594759854
"v8cfvu",-0.15596171471619,0.0328935884047695,0.305762654164643,-0.717307000749931,-0.879041460435809,-0.113226875771448,0.164550123518481,-0.735319524714488,0.383422246227507
"ksusij",-0.145181144809913,-0.178215351307757,-0.670538941291472,0.448717192112626,0.196979084661175,-0.149495851834089,0.00420453277282993,-0.255622400402301,-1.10405841906531
