"","PRISK","PBENE","DREAD","UNKNO","TRUST","KNsub","KNobj","PROGR","POLICY"
"ti7a9o",0.216078944010744,-1.20364971526699,0.29924885842138,0.103979699165598,0.400436944215141,-1.23062142388675,-0.0955263016818815,-0.128298525573556,0.268641021508714
"srjha7",-0.209799960167096,-0.602967362044575,0.506258778062913,0.880077282418977,-0.248149740867823,-0.270534589711047,-0.729733844637391,-0.770693443135778,-0.106178938075312
"elj09t",-0.156565097144866,0.455665627985984,-0.327096534680803,0.277346630508187,-0.526115463046236,1.29592287657562,-0.0839414127039902,0.0904205865198377,0.00705500269705853
"53lq9j",0.0563743549440538,0.0223778835310504,-0.286176279682526,0.127605412416574,1.04902362929811,0.133712498362931,-0.504788244552469,-0.42411831006492,0.288123859936648
"831n09",0.695192711210813,-1.60320363098856,0.564429780736461,0.126614989844472,-0.0628392594155473,0.790614016483147,0.0452396200699259,-0.395616648049616,-0.457843223458803
"lto376",0.0031394919218238,-1.77344489082101,0.163863729705844,0.702464238436089,-0.433460222320098,-0.725312563794275,-0.845362797090589,0.161728089610378,0.121274758463437
"uts623",0.322548670055204,-0.263639913941159,-0.330944528875975,0.254664299969322,-0.75775356486158,-0.2200037037018,0.225871314277085,-0.846448587883135,-0.112169918691045
"uk59nd",0.801662437255273,0.142092373721442,-0.266671846827157,-0.697524347148214,-0.0165116390524784,0.487428700427663,0.502157886686592,-0.229610705110854,0.601883077410099
"6gb1gf",0.0031394919218238,0.420688304536905,0.152988499318857,0.10983254933555,-1.59165073139682,-1.02849787984976,-0.223828335102355,-0.271993484714894,-0.0238789381980618
"10je9v",3.56987531441123,0.271001085312504,-0.279433162687646,-1.22872342185511,-0.618770703772374,0.0326507263444359,-0.279709053519063,-0.0227702914665205,-2.27585990909842
"vjlm60",0.641957848188583,-0.202620584183504,0.430182913653839,-1.03360711057081,-0.943064046313856,-0.775843449803521,-0.397045034049131,-0.053951006016833,-0.786133997374436
"ac9tcg",-0.742148590389396,-1.15246994903917,-0.474030181917154,-0.0290179208608529,-0.850408805587718,-0.422127247738791,0.942911589346297,0.0777743512962002,-1.19150249792335
"fm2que",0.109609217966284,-0.526340769674874,-1.10266876922871,0.0470550964949642,-0.0628392594155473,1.54857730662186,-1.92263432825514,-0.0160889580281595,-0.709723226817824
"rprufq",2.02606428676656,-1.21453551617115,-1.6376026980732,-0.794254815145494,-0.618770703772374,-1.079028765859,-1.14760234565584,-0.719187360854712,-0.660282002831287
"gf52lo",0.269313807032974,-0.0674204178759513,-0.546609177320908,-1.02758691779396,2.02190365692255,0.335836042399921,-0.395746920506886,0.120899115114071,0.518824135600266
"n3n2g7",0.0563743549440538,-0.394584557756028,1.04755367982002,0.764898378047447,0.0298159813105905,1.39698464859412,-0.193853173727979,0.531423784441776,-0.48127916500388
"4o95jq",0.641957848188583,0.100946031313574,0.821662423993676,-0.37920650781014,-0.340804981593961,-0.0178801596648104,-0.702481193879065,-0.714446349016006,0.047722357396299
"5h1c52",-0.422739412256016,0.610309827451442,0.39280156470916,0.563661582026823,-1.45266787030761,1.34645376258487,-0.619859558834136,0.247525749935701,-0.0722635037518949
"bagdgf",1.86635969769987,-1.27796276518824,0.442960538981801,-0.210980992687847,0.168798842399797,-0.0684110456740588,-0.172488604595185,-1.25196736658426,-1.366059297198
"sj44ut",-1.96655043990068,1.32568634517878,0.0423499943142115,-0.882842447481814,-0.340804981593961,-0.0178801596648111,-0.0984753578000188,0.270285347765067,0.214601450456156
"ujsv60",0.109609217966284,0.432627145734952,-0.669500425894602,0.153094490870598,3.18009416599927,1.7001699646496,2.35873843304748,-0.39939609135363,2.44607845243742
"l9lprl",-0.742148590389396,0.039423350411757,-0.635946476621589,0.866750308154866,-0.340804981593961,-0.220003703701799,-1.73907060838458,0.30174844007874,-1.84744573051478
"hdbt88",-1.64714126176731,1.91936855611114,-1.32804198592551,-1.38062069074704,-0.943064046313856,-1.33168319590524,0.710092840747876,0.385461841818096,1.00946850197619
"2jkbfk",-0.209799960167096,-0.95659608186273,-1.02808114590186,0.314048479868635,-0.433460222320098,1.29592287657562,0.568391150388526,-0.467203275625039,0.753475933739509
"7g80om",-0.103330234122636,0.0728587397989521,0.376780803356806,0.350960882299406,-0.0628392594155473,-0.674781677785026,-1.46424720567124,0.857758642506649,-1.51689442656716
"nuqrp0",0.162844080988514,-0.120533235797175,-0.0264717452421625,-0.474220409411437,-0.109166879778616,0.386366928409168,-0.265814976727816,0.0307159106719519,-0.447804700942981
"jb5j1k",-1.64714126176731,-0.162781081935763,0.86066224949364,0.0264994122029133,0.86371314784583,0.184243384372179,0.0471154049569334,0.417849643241974,0.878935608869243
"vvdtmj",0.0031394919218238,-0.103395090631118,-0.292275617946002,-0.46954446240713,-0.526115463046236,-1.98858471402546,-0.145522498002775,0.753366648245416,-1.0165177598353
"dvq5b4",-0.316269686211556,1.31399960304712,-0.974442885331248,-0.382736431581403,0.0298159813105905,-0.422127247738789,0.210923692239981,-0.00544839522267516,1.1984846908643
"sn17ij",1.17430647841088,-0.346436799163874,0.542427832935649,0.157721623235871,0.168798842399797,0.335836042399921,-0.474114596960787,0.16463291857799,0.0651781326093037
"30n8hl",0.429018396099664,-0.228766320285304,-0.587143940412042,0.649223744418757,-0.943064046313856,-0.118941931683305,0.564770848593538,-0.748958207283603,0.0511338285817917
"v8cfvu",0.162844080988514,-0.736842406858933,-0.174452942735185,0.033677965795593,0.307781703489004,-0.725312563794273,-0.910405490815898,-0.154840124082935,0.380508659281613
"ksusij",0.0031394919218238,-0.24386045413954,-0.145019727441962,-0.175982020281905,-0.665098324135443,0.436897814418416,0.163050730224298,-0.231906494432418,-1.10236655527657
"68tq96",-0.901853179456086,0.759298136715922,-1.10074753911715,-0.60551503334286,0.400436944215141,0.790614016483147,0.191779442531503,-0.0634608251857788,1.28119437741278
"osu5to",0.482253259121893,1.30541203795243,0.342065385120504,0.154825702920065,-1.31368500921841,1.49804642061261,-0.532249758784895,-0.30416425919391,0.134220204659141
"qa0470",1.33401106747757,-0.370976831127974,1.2296726154481,-0.466271302749223,-0.0628392594155473,0.689552244464654,-1.09887914878978,-0.170185153747851,0.145359151556974
"n4hoho",0.854897300277503,1.06873575645703,-0.569842725859011,-0.835311732944692,0.86371314784583,0.891675788501643,0.45059410834484,0.118138223132772,-0.219989652920272
"74upqd",-0.582444001322706,1.52959766366878,0.0863484243902667,0.445980224622174,1.04902362929811,0.891675788501642,0.296982676495472,-0.253438949036737,0.36919878085889
"gilmrq",0.0031394919218238,-0.35889854673338,0.204690112562938,-0.155702162856886,0.122471222036728,-0.270534589711048,1.0107477795297,-0.641732231082521,-1.22075147241739
"gd1ugi",0.322548670055204,-0.228345869812844,0.935488386201794,0.0122505075712236,-0.711425944498512,-1.02849787984976,-0.762220015821433,-1.12367953464785,0.207171045828938
"sajkq7",0.216078944010744,0.330201720046447,-0.0648083502794019,0.136613266347798,-1.63797835175989,0.234774270381427,-0.0570371703432528,0.540302264682406,-0.0111308866522141
"v03o3t",0.162844080988514,-0.165422821202732,-0.295988235799589,-0.234765061149057,0.493092184941279,0.386366928409168,0.0498332034846696,0.266049236843848,0.693437995059896
"6ilr48",0.0563743549440538,-0.467346320633154,0.437724454851856,-0.602612577067165,-0.0628392594155473,0.285305156390674,-0.0503475660517956,-0.15992785415581,-0.998337534215393
"71o6u6",0.482253259121893,0.717554490984315,-0.160083524543365,0.510464443145975,0.632075046030486,-0.118941931683305,0.25311387831828,0.0515804813686794,0.143180237796251
"ud0l0j",-1.2744972206117,-0.0835221032813308,-0.43584797418956,-0.0762353196271469,0.724730286756624,-0.0684110456740583,1.16468031122707,-0.207449154509006,0.273757328129816
"pu111n",4.0489890816113,1.09914679266516,0.105519451465307,-0.473815286020346,1.00269600893504,-0.068411045674058,0.183279688219713,0.497981582618387,0.248606570902646
"kg3ena",-2.49889907012298,-0.103395090631118,0.471702231232053,-0.316357907953443,-0.0628392594155473,-0.0684110456740579,-0.250490631728119,1.3116703970641,0.643400081649694
